,DEMREL02,DEMID01,DEMSN01,RELPCG02,RELOCG02,SIBIND02,CH02PRWT,PCGRES02,OCGRES02,ASMRES02,CHRES02,TDRES02,CCDRES02,EMSRES02,IWER02,SBLNUM03,SBLNUM01,BIOPR03,BIOPR01,BIOGPR03,BIOGPR01,PCGEMS02
2747,6,6896,3,1,4,5,3.642,1,1,1,1,1,1,0,2057,9,9,1,1,0,0,0
2748,6,6907,3,1,4,1,13.903,1,1,5,5,1,5,0,2002,1,1,1,1,2,2,0
2749,6,6907,4,1,4,1,13.937,1,1,1,1,1,1,1,2002,1,1,1,1,2,2,1
2750,6,6913,3,1,4,5,36.069,1,5,1,1,5,1,0,2006,1,0,1,1,0,0,0
2751,6,6918,2,1,0,5,5.756,1,0,1,1,5,1,1,2046,2,2,2,2,0,0,1
2752,6,6919,2,1,0,5,1.901,1,0,1,0,1,1,1,2073,2,2,2,2,2,2,1
2753,6,6923,3,1,4,1,19.522,1,5,5,5,5,5,0,2059,1,1,1,1,2,2,5
2754,6,6923,4,1,4,1,19.567,1,5,5,5,5,5,5,2059,1,1,1,1,2,2,1
2755,6,6931,2,1,7,5,18.827,1,1,1,5,1,1,1,2025,1,1,2,2,1,1,1
2756,6,6934,5,1,4,1,5.836,1,5,1,1,1,1,0,2074,3,3,1,1,2,2,0
2757,6,6934,6,1,4,1,5.725,1,5,1,1,1,1,0,2074,3,3,1,1,2,2,0
2758,6,6938,2,1,0,1,13.392,1,0,1,1,1,1,0,2054,2,2,2,2,2,2,0
2759,6,6938,3,1,0,1,13.362,1,0,1,1,1,1,5,2054,2,2,2,2,2,2,1
2760,6,6941,2,1,0,1,8.269,1,0,1,1,5,1,0,2104,1,1,2,2,2,2,0
2761,6,6941,3,1,0,1,8.1,1,0,1,1,5,1,1,2104,1,1,2,2,2,2,1
2762,6,6958,2,1,0,1,2.148,1,0,5,5,5,5,0,2102,2,2,2,2,2,2,5
2763,6,6958,3,1,0,1,2.139,1,0,5,5,5,5,0,2102,2,2,2,2,2,2,5
2764,6,6960,3,1,4,1,25.783,1,1,1,1,1,1,0,2086,2,2,1,1,0,0,0
2765,6,6960,5,1,4,1,25.567,1,1,1,1,1,1,0,2086,2,2,1,1,0,0,0
2766,6,6963,3,4,0,5,3.83,1,0,1,1,1,1,0,2028,2,2,3,3,0,0,0
2767,6,6966,3,1,4,5,3.337,1,1,5,5,1,5,0,2057,0,0,1,1,2,2,5
2768,6,6967,3,1,4,5,17.626,1,1,1,1,1,0,0,2097,10,9,6,1,4,2,0
2769,6,6971,2,1,0,5,4.815,1,0,1,1,1,1,1,2024,96,1,2,2,0,0,1
2770,6,6974,3,11,0,5,6.65,1,0,1,1,5,1,5,2050,1,1,2,1,2,2,1
2771,6,6985,3,3,6,5,1.217,1,1,1,1,1,0,0,2008,0,0,4,4,0,0,5
2772,6,6987,2,1,10,1,21.809,1,1,1,5,1,1,1,2086,1,1,2,2,2,2,1
2773,6,6987,3,1,10,1,21.809,1,1,1,0,1,1,1,2086,1,1,2,2,2,2,1
2774,6,6988,2,1,0,1,4.12,1,0,1,1,1,5,5,2036,1,1,2,2,0,0,1
2775,6,6988,3,1,0,1,4.01,1,0,1,1,1,0,0,2036,1,1,2,2,0,0,0
2776,6,6991,2,4,13,5,24.558,1,1,1,1,1,1,0,2029,1,96,3,3,0,0,0
2777,6,6996,3,1,0,5,29.972,1,0,1,0,1,1,1,2016,1,1,2,2,0,0,1
2778,6,7000,5,1,4,1,67.038,1,1,1,1,1,1,0,2005,4,4,1,1,2,2,0
2779,6,7000,6,1,4,1,67.038,1,1,1,1,1,0,0,2005,4,4,1,1,2,2,0
2780,6,7005,2,1,0,5,49.175,1,0,1,1,1,1,1,2106,0,0,2,2,0,0,1
2781,6,7011,3,1,4,5,13.408,1,1,1,0,1,1,0,2072,1,1,1,1,2,2,0
2782,6,7014,4,1,0,1,3.518,1,0,1,1,1,1,1,2064,4,4,2,2,0,0,1
2783,6,7014,5,1,0,1,3.411,1,0,1,1,1,1,5,2064,4,4,2,2,0,0,1
2784,6,7023,3,1,0,5,4.029,1,0,1,0,1,1,1,2094,1,1,2,2,1,1,1
2785,6,7026,4,1,4,5,27.654,1,1,1,1,1,1,0,2001,1,1,1,1,2,2,0
2786,6,7036,3,1,4,5,21.716,1,1,1,5,1,0,5,2108,0,1,0,1,0,2,1
2787,6,7038,3,1,4,5,45.812,1,1,1,1,1,1,0,2001,9,9,1,1,2,2,0
2788,6,7044,5,1,4,1,5.791,1,1,1,1,1,5,0,2071,5,5,1,1,0,0,0
2789,6,7044,7,1,4,1,5.695,1,1,1,1,1,1,1,2071,5,5,1,1,0,0,1
2790,6,7047,3,1,5,5,33.398,1,1,1,1,1,1,5,2028,96,1,2,2,2,2,1
2791,6,7055,2,1,0,1,4.217,1,0,1,1,1,1,0,2086,0,1,0,2,0,0,0
2792,6,7055,3,1,0,1,4.138,1,0,1,1,1,1,0,2086,0,1,0,2,0,0,0
2793,6,7059,2,1,0,1,1.735,1,0,1,1,1,5,0,2031,3,3,2,2,0,0,0
2794,6,7059,4,1,0,1,1.726,1,0,1,1,1,5,0,2031,3,3,2,2,0,0,0
2795,6,7061,3,4,2,1,22.725,1,1,1,1,1,1,0,2045,1,1,3,3,0,0,0
2796,6,7061,4,4,2,1,22.383,1,1,1,1,1,1,1,2045,1,1,3,3,0,0,1
2797,6,7063,2,1,0,5,21.422,1,0,1,1,1,5,0,2086,0,0,0,2,0,2,0
2798,6,7065,2,1,10,5,19.305,1,1,1,1,1,1,1,2029,0,0,2,2,0,0,1
2799,6,7070,3,11,12,5,4.101,1,1,1,1,1,1,0,2049,0,0,0,0,0,0,0
2800,6,7086,3,1,4,5,28.416,1,1,1,1,1,1,5,2054,0,0,1,1,2,2,1
2801,6,7087,3,1,4,1,16.212,1,5,5,5,5,5,0,2035,0,2,0,1,0,0,5
2802,6,7087,4,1,4,1,12.343,1,5,5,0,5,5,0,2035,0,2,0,1,0,0,5
2803,6,7090,2,1,0,1,5.873,1,0,1,1,1,1,0,2087,1,1,2,2,2,2,0
